genre_ids,id,original_language,overview,poster_path,release_date,title,keyword,movie_out
"[16, 10751, 18, 12, 35]",1022789,en,"Teenager Riley's mind headquarters is undergoing a sudden demolition to make room for something entirely unexpected: new Emotions! Joy, Sadness, Anger, Fear and Disgust, who’ve long been running a successful operation by all accounts, aren’t sure how to feel when Anxiety shows up. And it looks like she’s not alone.",/vpnVM9B6NMmQpWeZvzLvDESb2QY.jpg,2024-06-11,Inside Out 2,"[1647, 3444, 9663, 10159, 10809, 13073, 18047, 155624, 179430, 179431, 211269, 241752, 277029, 280263, 325856]",False
"[878, 12, 28]",653346,en,"Several generations in the future following Caesar's reign, apes are now the dominant species and live harmoniously while humans have been reduced to living in the shadows. As a new tyrannical ape leader builds his empire, one young ape undertakes a harrowing journey that will cause him to question all that he has known about the past and to make choices that will define a future for apes and humans alike.",/gKkl37BQuKTanygYQG1pyYgLVgf.jpg,2024-05-08,Kingdom of the Planet of the Apes,"[11195, 4152, 690, 4565, 5350, 9663, 11477, 11239, 14759, 14762, 34152, 157972, 177280, 188953, 189092, 275266, 277303, 285366, 307212]",False
"[53, 27, 28, 9648]",1001311,fr,"In the Summer of 2024, Paris is hosting the World Triathlon Championships on the Seine for the first time. Sophia, a brilliant scientist, learns from Mika, a young environmental activist, that a large shark is swimming deep in the river. To avoid a bloodbath at the heart of the city, they have no choice but to join forces with Adil, the Seine river police commander.",/qZPLK5ktRKa3CL4sKRZtj8UlPYc.jpg,2024-06-05,Under Paris,"[90, 2988, 325783]",False
"[28, 80, 53, 35]",573435,en,"After their late former Captain is framed, Lowrey and Burnett try to clear his name, only to end up on the run themselves.",/nP6RliHjxsz4irTKsxe8FRhKZYl.jpg,2024-06-05,Bad Boys: Ride or Die,"[416, 9663, 10562, 15167, 167316, 167541]",False
"[16, 10751, 12, 18, 35]",150540,en,"From an adventurous balloon ride above the clouds to a monster-filled metropolis, Academy Award®-winning director Pete Docter (“Monsters, Inc.,” “Up”) has taken audiences to unique and imaginative places. In Disney and Pixar’s original movie “ Inside Out,” he will take us to the most extraordinary location of all—inside the mind.",/2H1TmgdfNtsKlU9jKdeNyYL5y8T.jpg,2015-06-17,Inside Out,"[1566, 582, 1360, 1647, 6513, 3444, 6483, 7942, 8102, 10235, 10937, 13073, 18035, 18047, 163227, 171831, 179431, 211269, 277029, 325761, 331890]",False
"[878, 28, 12]",823464,en,"Following their explosive showdown, Godzilla and Kong must reunite against a colossal undiscovered threat hidden within our world, challenging their very existence – and our own.",/z1p34vh7dEOnLDmyCrlUVLuoDzd.jpg,2024-03-27,Godzilla x Kong: The New Empire,"[11100, 9663, 12616, 15149, 161791, 170362, 196425, 257384, 293178, 311315]",False
"[10752, 28, 18]",929590,en,"In the near future, a group of war journalists attempt to survive while reporting the truth as the United States stands on the brink of civil war.",/sh7Rg8Er3tFcN9BpKIPOMvALgZd.jpg,2024-04-10,Civil War,"[1589, 242, 4776, 521, 833, 393, 447, 1003, 4565, 4747, 7312, 8570, 11322, 13065, 14946, 155814, 160910, 190434, 190893, 206515, 220492, 226426, 226547, 236389, 244256, 312898, 325801]",False
"[28, 80, 35, 53]",955555,ko,"Detective Ma Seok-do changes his affiliation from the Geumcheon Police Station to the Metropolitan Investigation Team, in order to eradicate Japanese gangsters who enter Korea to commit heinous crimes.",/lW6IHrtaATxDKYVYoQGU5sh0OVm.jpg,2023-05-31,The Roundup: No Way Out,"[2151, 6149, 703, 9663, 231849]",False
"[878, 28, 14, 12]",626412,ko,"Ean has a critical mission to return to the future to save everyone. However, she becomes trapped in the distant past while trying to prevent the escape of alien prisoners who are locked up in the bodies of humans. Meanwhile, Muruk, who helps Ean escape various predicaments, is unnerved when he begins sensing the presence of a strange being in his body. Traveling through the centuries, they are trying to prevent the explosion of the haava.",/4RClncz0GTKPZzSAcAalHCw0h3g.jpg,2024-01-10,Alienoid: Return to the Future,"[1521, 9951, 304931]",False
"[878, 28]",614933,en,A brilliant counterterrorism analyst with a deep distrust of AI discovers it might be her only hope when a mission to capture a renegade robot goes awry.,/bcM2Tl5HlsvPBnL8DKP9Ie6vU4r.jpg,2024-05-23,Atlas,"[10364, 310, 4759, 10563, 13065, 14643, 162365, 202371]",False
"[27, 53]",719221,en,"When a group of friends recklessly violate the sacred rule of Tarot readings, they unknowingly unleash an unspeakable evil trapped within the cursed cards. One by one, they come face to face with fate and end up in a race against death.",/gAEUXC37vl1SnM7PXsHTF23I2vq.jpg,2024-05-01,Tarot,"[2591, 10855, 12339, 155939, 207844, 256183, 304115]",False
"[10749, 35, 80]",974635,en,A mild-mannered professor moonlighting as a fake hit man in police stings ignites a chain reaction of trouble when he falls for a potential client.,/1126gjlBf4hTm9Sgf0ox3LGVEBt.jpg,2024-05-16,Hit Man,"[2708, 1284, 1992, 2411, 9799, 18118, 155457, 163589, 167428, 239275, 262495, 286753, 307001]",False
"[16, 28, 10751, 35, 14]",1011985,en,"Po is gearing up to become the spiritual leader of his Valley of Peace, but also needs someone to take his place as Dragon Warrior. As such, he will train a new kung fu practitioner for the spot and will encounter a villain called the Chameleon who conjures villains from the past.",/kDp1vUBnMpe8ak4rjgl3cLELqjU.jpg,2024-03-02,Kung Fu Panda 4,"[779, 780, 478, 3289, 9663, 8531, 11477, 14569, 325799, 325843]",False
"[53, 28, 80]",38700,en,"Marcus and Mike are forced to confront new threats, career changes, and midlife crises as they join the newly created elite team AMMO of the Miami police department to take down the ruthless Armando Armas, the vicious leader of a Miami drug cartel.",/y95lQLnuNKdPAzw9F9Ab8kJ80c3.jpg,2020-01-15,Bad Boys for Life,"[534, 416, 703, 5424, 9663, 9777, 9826, 10175, 11148, 15167, 167316, 217452, 219404, 224876, 225219]",False
"[28, 35]",746036,en,"Fresh off an almost career-ending accident, stuntman Colt Seavers has to track down a missing movie star, solve a conspiracy and try to win back the love of his life while still doing his day job.",/aBkqu7EddWK7qmY4grL4I6edx2h.jpg,2024-04-24,The Fall Guy,"[5956, 156091, 179431, 222234, 247799, 269769, 325765]",False
